,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity
50,Friends,3yuV4GeplvzBIiYGhQp2nd,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,Kickback,2019-04-10,spotify:album:3yuV4GeplvzBIiYGhQp2nd,5MZQIjtghyFc4sMVUzD7MD,spotify:track:5MZQIjtghyFc4sMVUzD7MD,171106,False,53
51,Platinum Fire (Deluxe),0e8ZsVbYFyzRhHYKNOgthl,Arin Ray,6TvjXbopXg71XRM9OZWqUc,Reckless,2018-12-14,spotify:album:0e8ZsVbYFyzRhHYKNOgthl,1BybndP1YgPEIk6WUnL6kT,spotify:track:1BybndP1YgPEIk6WUnL6kT,233265,True,59
52,Wildin',7kSFfhqYkwCiBYzYm8o61i,Berhana,0WjtdWS6su0f3jrW9aqEHl,Wildin',2018-07-18,spotify:album:7kSFfhqYkwCiBYzYm8o61i,4LGg2NY9eHp0jF3L1WbCNl,spotify:track:4LGg2NY9eHp0jF3L1WbCNl,139613,True,53
53,I Wish I Missed My Ex,4CqmBX4qQUp0i5DDFkHCFd,Mahalia,16rCzZOMQX7P8Kmn5YKexI,I Wish I Missed My Ex,2018-05-31,spotify:album:4CqmBX4qQUp0i5DDFkHCFd,4jwP0pxx7su04FYc6J12EQ,spotify:track:4jwP0pxx7su04FYc6J12EQ,205263,False,58
54,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Sincerity Is Scary,2018-11-30,spotify:album:6PWXKiakqhI17mTYM4y6oY,6HguG9HRb1Ke1bhihfE4m8,spotify:track:6HguG9HRb1Ke1bhihfE4m8,225955,False,65
55,Rouge,5By9BZR5hxGhbkeq7sAcqZ,Yuna,3kHVioJpVxlazAAKQ64pC1,Castaway,2019-07-12,spotify:album:5By9BZR5hxGhbkeq7sAcqZ,19zPT36WogsfBd8HIaUnt4,spotify:track:19zPT36WogsfBd8HIaUnt4,269893,True,53
56,Uno Dos (feat. Jaden Smith),0u1kufnf2KBAb7dlKgD2XJ,¿Téo?,0jsnWH4QCKcAMpR7vEhh9u,Uno Dos (feat. Jaden Smith),2017-08-01,spotify:album:0u1kufnf2KBAb7dlKgD2XJ,6gigGFhKguOzObNC5QZbeW,spotify:track:6gigGFhKguOzObNC5QZbeW,169639,False,0
57,Nerve For The Ages,2aYbj0HPhxvsyNetLERWdR,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,Nerve For The Ages,2017-11-28,spotify:album:2aYbj0HPhxvsyNetLERWdR,2fzK1mbS6V9UXQQ8reSjXH,spotify:track:2fzK1mbS6V9UXQQ8reSjXH,112977,False,34
58,Plant Feed,1i9xCz51Auu1kcwTcFLGAv,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,The Florist,2017-06-09,spotify:album:1i9xCz51Auu1kcwTcFLGAv,19y7Eh2ORRo6spiEcr4aTU,spotify:track:19y7Eh2ORRo6spiEcr4aTU,201833,False,0
59,Singles,4RJinmp0qCu0rL4LKpXftN,Barrie,1pHO6SCEw9tuRx0IVMFL0g,Michigan,2018-10-12,spotify:album:4RJinmp0qCu0rL4LKpXftN,3UBkhPyI6UfmH86bxxPLcb,spotify:track:3UBkhPyI6UfmH86bxxPLcb,215000,False,35
60,Know-It-All (Deluxe),3rDbA12I5duZnlwakqDdZa,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Here,2015-11-13,spotify:album:3rDbA12I5duZnlwakqDdZa,1wYZZtamWTQAoj8B812uKQ,spotify:track:1wYZZtamWTQAoj8B812uKQ,199453,False,67
61,Big Wave More Fire,30tc5b5AulEnOeyKTT9Cz3,DJDS,0orEyXhG0KnPEDVgpctNJI,Why Don’t You Come On (ft. Khalid and Empress Of),2018-05-18,spotify:album:30tc5b5AulEnOeyKTT9Cz3,7zgoHkxLgchJwPdhbJhQ3K,spotify:track:7zgoHkxLgchJwPdhbJhQ3K,199980,False,43
62,Bambi,6tGEWfRhonWuuQikgOnYhN,Hippo Campus,1btWGBz4Uu1HozTwb2Lm8A,Bambi,2018-09-28,spotify:album:6tGEWfRhonWuuQikgOnYhN,5dmPNuHmRRJuHmJTDa7NuJ,spotify:track:5dmPNuHmRRJuHmJTDa7NuJ,194400,True,64
63,Picture You Staring,4XherhknNqBd7RsksYVqP5,TOPS,2SdK1QDmZIP2hk94rSaLl9,Way to be Loved,2014-09-02,spotify:album:4XherhknNqBd7RsksYVqP5,5FjC0o2EGdlAMdc3hfeTMd,spotify:track:5FjC0o2EGdlAMdc3hfeTMd,263396,False,56
64,Happy To Be Here,74hkehs2cahKJ7jFLOrxYh,Barrie,1pHO6SCEw9tuRx0IVMFL0g,Habits,2019-05-03,spotify:album:74hkehs2cahKJ7jFLOrxYh,1qAcX4wZpol2I0QtDSck3L,spotify:track:1qAcX4wZpol2I0QtDSck3L,217640,False,28
65,SLOWSHINE,4SjYXLN4fFam9kx1JrbfgW,Golden Vessel,6bJCrLZcvsBMzve04BmgwS,"BIGBRIGHT (feat. Elkkle, E^ST & Duckwrth)",2019-05-17,spotify:album:4SjYXLN4fFam9kx1JrbfgW,4gErEUBzsNChBuqk9jgycY,spotify:track:4gErEUBzsNChBuqk9jgycY,247385,False,0
66,Part 1 Everything Not Saved Will Be Lost,5oT2zoIrVGJcbVZoNGGZwc,Foals,6FQqZYVfTNQ1pCqfkwVFEa,In Degrees,2019-03-08,spotify:album:5oT2zoIrVGJcbVZoNGGZwc,2muJzxNCRL7M2QeCmjPubU,spotify:track:2muJzxNCRL7M2QeCmjPubU,297632,False,54
67,Bashful Creatures,2O8JV6cLUmyO3w2nf5PuBh,Hippo Campus,1btWGBz4Uu1HozTwb2Lm8A,Opportunistic,2015-02-24,spotify:album:2O8JV6cLUmyO3w2nf5PuBh,79LfU5ufUmiLvLURU23Yyf,spotify:track:79LfU5ufUmiLvLURU23Yyf,139822,False,37
68,Permanent Vacation,5YlzKbkGoIIFnBOnYwU3kl,Lime Cordiale,6yrtCy4XJHXM6tczo4RlTs,Temper Temper,2017-10-13,spotify:album:5YlzKbkGoIIFnBOnYwU3kl,3DCU0R5FFaB9GKxZERb5wr,spotify:track:3DCU0R5FFaB9GKxZERb5wr,208980,False,61
69,Feel Alright,4WFoycnSm1iPo40lkYw6Wc,Zanski,6IVta6osiP9HifjCLIw4cv,Feel Alright,2016-10-21,spotify:album:4WFoycnSm1iPo40lkYw6Wc,1w4zsr8vQDFkVDOX22hEOF,spotify:track:1w4zsr8vQDFkVDOX22hEOF,253953,False,12
