,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
59,Big Wave More Fire,30tc5b5AulEnOeyKTT9Cz3,DJDS,0orEyXhG0KnPEDVgpctNJI,Why Don’t You Come On (ft. Khalid and Empress Of),2018-05-18,spotify:album:30tc5b5AulEnOeyKTT9Cz3,7zgoHkxLgchJwPdhbJhQ3K,spotify:track:7zgoHkxLgchJwPdhbJhQ3K,199980,False,43,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
60,Bambi,6tGEWfRhonWuuQikgOnYhN,Hippo Campus,1btWGBz4Uu1HozTwb2Lm8A,Bambi,2018-09-28,spotify:album:6tGEWfRhonWuuQikgOnYhN,5dmPNuHmRRJuHmJTDa7NuJ,spotify:track:5dmPNuHmRRJuHmJTDa7NuJ,194400,True,64,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
61,Picture You Staring,4XherhknNqBd7RsksYVqP5,TOPS,2SdK1QDmZIP2hk94rSaLl9,Way to be Loved,2014-09-02,spotify:album:4XherhknNqBd7RsksYVqP5,5FjC0o2EGdlAMdc3hfeTMd,spotify:track:5FjC0o2EGdlAMdc3hfeTMd,263396,False,56,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
62,Happy To Be Here,74hkehs2cahKJ7jFLOrxYh,Barrie,1pHO6SCEw9tuRx0IVMFL0g,Habits,2019-05-03,spotify:album:74hkehs2cahKJ7jFLOrxYh,1qAcX4wZpol2I0QtDSck3L,spotify:track:1qAcX4wZpol2I0QtDSck3L,217640,False,28,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
63,SLOWSHINE,4SjYXLN4fFam9kx1JrbfgW,Golden Vessel,6bJCrLZcvsBMzve04BmgwS,"BIGBRIGHT (feat. Elkkle, E^ST & Duckwrth)",2019-05-17,spotify:album:4SjYXLN4fFam9kx1JrbfgW,4gErEUBzsNChBuqk9jgycY,spotify:track:4gErEUBzsNChBuqk9jgycY,247385,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
64,Part 1 Everything Not Saved Will Be Lost,5oT2zoIrVGJcbVZoNGGZwc,Foals,6FQqZYVfTNQ1pCqfkwVFEa,In Degrees,2019-03-08,spotify:album:5oT2zoIrVGJcbVZoNGGZwc,2muJzxNCRL7M2QeCmjPubU,spotify:track:2muJzxNCRL7M2QeCmjPubU,297632,False,55,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
65,Bashful Creatures,2O8JV6cLUmyO3w2nf5PuBh,Hippo Campus,1btWGBz4Uu1HozTwb2Lm8A,Opportunistic,2015-02-24,spotify:album:2O8JV6cLUmyO3w2nf5PuBh,79LfU5ufUmiLvLURU23Yyf,spotify:track:79LfU5ufUmiLvLURU23Yyf,139822,False,37,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
66,Permanent Vacation,5YlzKbkGoIIFnBOnYwU3kl,Lime Cordiale,6yrtCy4XJHXM6tczo4RlTs,Temper Temper,2017-10-13,spotify:album:5YlzKbkGoIIFnBOnYwU3kl,3DCU0R5FFaB9GKxZERb5wr,spotify:track:3DCU0R5FFaB9GKxZERb5wr,208980,False,61,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
67,Feel Alright,4WFoycnSm1iPo40lkYw6Wc,Zanski,6IVta6osiP9HifjCLIw4cv,Feel Alright,2016-10-21,spotify:album:4WFoycnSm1iPo40lkYw6Wc,1w4zsr8vQDFkVDOX22hEOF,spotify:track:1w4zsr8vQDFkVDOX22hEOF,253953,False,12,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
68,Sad,35aISWjjpmBH3K1zZ8ZTYP,Alexander 23,6sFHvCyqklnJpXC9Nh1aag,Sad,2019-07-12,spotify:album:35aISWjjpmBH3K1zZ8ZTYP,5Ybp65SomeSJEj8xmUARdA,spotify:track:5Ybp65SomeSJEj8xmUARdA,163066,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
69,Her,1XtTygUdUqtwPyErnZxLbR,DPR LIVE,0siBQaURCli5wn2lqv8WZg,Martini Blue,2017-12-07,spotify:album:1XtTygUdUqtwPyErnZxLbR,7zDu3l7DDlfSlt20YMKkWo,spotify:track:7zDu3l7DDlfSlt20YMKkWo,195204,False,58,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
70,Immunity,4kkVGtCqE2NiAKosri9Rnd,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Softly,2019-08-02,spotify:album:4kkVGtCqE2NiAKosri9Rnd,4PvbbMYL4fkToni5BLaYRb,spotify:track:4PvbbMYL4fkToni5BLaYRb,185306,False,70,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
